TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e000297,공연티켓,1,1,,예스24,,,,,2023-05-21 14:00,1,49500,관람권,
e_e000297,공연티켓,2,1,1418117437,(주)더블케이엔터테인먼트,,,,,2023-05-19 18:13,1,36000,관람권,
e_e000308,워킹온더클라우드 식당예약,1,2,1898702127,더테이스터블 주식회사,서울 영등포구 63로 40,서울 영등포구 여의도동 61-3,3118001,1156011000,2023-05-26 00:16,1,439200,워킹 온 더 클라우드 별빛 기념일 패키지,
e_e000394,전시회표,1,1,,서울시립미술관,서울 관악구 남부순환로 2076,서울 관악구 남현동 1059-13,2000003,1162010300,2023-05-20 00:00,3,10000,입장권,
e_e000431,식품,1,5,5010494805,다산 왕식자재마트,경기 구리시 산마루로 300,경기 구리시 사노동 147-8,3196005,4131010200,2023-05-26 14:21,1,82870,돈생목살;코카조지아헤이즐넛향아메;서울우유짜요딸기카톤;서울우유비요뜨쿠키앤크림;서울우유비요뜨초코링,
e_e000431,식품,2,5,2058550913,이마트,경기 남양주시 도농로 24,경기 남양주시 다산동 4001-29,3197018,4136011200,2023-05-26 11:47,1,68020,필라이트후레쉬1.6L페;크라운 과자 10개 골;블랑제리 단품류;피코크 파주장단콩순;국산콩 콩나물,
e_e000478,주유비,1,3,1258211307,안성(부산)주유소,경기 안성시 원곡면 경부고속도로 365,경기 안성시 원곡면 반제리 642-6,1000001,4155038027,2023-06-04 13:38,1,35999,주유비,
e_e000528,버스승차권구매,1,1,3118100025,(주)충남고속,충남 예산군 예산읍 금오대로 35-14,충남 예산군 예산읍 산성리 647,2263001,4481025025,2023-05-12 22:35,1,8700,버스표,
e_e000528,버스승차권구매,2,1,3118100025,(주)충남고속,충남 예산군 예산읍 금오대로 35-14,충남 예산군 예산읍 산성리 647,2263001,4481025025,2023-05-21 00:00,1,12700,버스비,
e_e000589,연극 댄스네이션 티켓,1,1,,,,,,,2023-04-24 00:00,1,21500,관람권,
e_e000853,입장권예약,1,3,,덕평공룡수목원,경기 이천시 마장면 작촌로 282,경기 이천시 마장면 작촌리 산 58-1,3207048,4150034033,,1,24300,입장권,
e_e000853,입장권예약,2,3,2050272554,덕평공롱수목원(매표소1),경기 이천시 마장면 작촌로 282,,3207048,4150034033,2023-05-27 12:31,1,0,입장권,
e_e001020,고속버스 승차권,1,1,1148281180,금호,,,,,2023-05-26 20:34,1,16100,버스표,
e_e001379,고기,0,6,,제주한아름정육마트,143 한아름정육마트,,,,,5,100000,,5011010800
e_e001399,유부초밥 재료 및 음료,1,3,1668501140,농협하나로마트 동탄점,경기 화성시 동탄순환대로27길 30,,4852384,4159013100,2023-06-03 18:31,1,21270,버섯(새송이)/국산;당근/국산;감자/국산;등심(안성한돈);테라(캔);주부초밥짱,
e_e001496,반찬; 식재료; 양념 등,0,8,,마켓컬리,743,,,,,1,543000,,4157025325
e_e002039,호암미술관 전시 티켓,1,2,,호암미술관,경기 용인시 처인구 포곡읍 에버랜드로562번길 38,경기 용인시 처인구 포곡읍 가실리 산 12-8,4409594,4146125026,2023-06-03 10:00,1,28000,관람권,
e_e002078,컵라면; 유부초밥; 닭강정; 밥; 물; 콜라,0,2,,CU 일산강선8단지점,강선마을 8단지 상가동 1층 111호,,,,,1,25000,,4128710200
e_e002112,에버랜드 입장권,1,2,,(주)삼성물산 에버랜드리조트,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,3203081,4146125027,2023-06-04 00:00,1,74800,입장권,
e_e002190,김밥재료,1,2,6498500379,더스테이힐링파크,경기 가평군 설악면 한서로268번길 157,,4448290,4182031027,2023-06-03 11:00,1,16000,(ICE)시그_아메리카노;가나슈 케이크,
e_e002190,김밥재료,2,2,1278549339,GS 더 프레쉬,경기 의정부시 용현로 143,경기 의정부시 민락동 691-1,3181036,4115010600,2023-06-01 21:09,1,28880,밀양)햇당근(봉); 다다기오이(3입/봉; 목우촌)살코기햄; 리얼)김밥단무지; 대림큰잔치게맛살,
e_e002191,안성팜랜드 입장티켓,0,1,,안성팜랜드,대신두길 28,,,,,4,10000,,4155025000
e_e002337,소고기; 돼지고기; 바나나; 회; 콜라; 비빔면 등,0,5,,구로 블랙앵거스,도림로 84,,,,,1,70000,,1153010200
e_e002379,전시회 티켓,1,1,8248102515,주식회사 인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-06-03 13:51,1,17000,,
