COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e000308,1,1,4,1
1,e_e000337,9,2,4,1
2,e_e000391,2,2,2,1
1,e_e000391,1,1,4,1
3,e_e000391,2,2,1,1
2,e_e000394,2,1,2,1
1,e_e000394,1,1,5,1
1,e_e000431,1,1,5,1
3,e_e000431,5,2,5,3
5,e_e000431,6,1,2,3
2,e_e000431,2,1,2,1
4,e_e000431,6,1,5,3
1,e_e000459,5,2,4,1
1,e_e000471,7,2,5,2
1,e_e000478,1,1,4,1
2,e_e000478,2,1,1,1
1,e_e000537,1,2,4,1
1,e_e000538,1,1,5,1
3,e_e000538,2,1,1,1
2,e_e000538,2,1,1,1
1,e_e000568,8,1,3,1
1,e_e000573,1,2,6,1
1,e_e000589,7,2,3,1
1,e_e000592,3,2,7,1
1,e_e000614,8,1,4,3
2,e_e000652,2,2,1,1
1,e_e000652,1,2,5,1
1,e_e000656,1,2,4,1
3,e_e000656,2,1,1,1
2,e_e000656,2,2,1,1
1,e_e000665,8,1,3,1
1,e_e000742,1,2,4,1
1,e_e000749,7,2,3,1
2,e_e000753,2,2,1,1
4,e_e000753,3,2,7,3
1,e_e000753,1,2,4,1
3,e_e000753,3,1,8,3
1,e_e000769,1,1,4,1
2,e_e000769,2,2,1,1
1,e_e000776,7,2,4,1
1,e_e000843,1,2,5,1
3,e_e000843,2,2,2,1
2,e_e000843,2,2,2,1
1,e_e000853,1,2,4,1
2,e_e000853,2,2,1,1
1,e_e000880,1,1,4,1
1,e_e000920,5,2,4,3
2,e_e000944,2,1,1,1
1,e_e000944,1,1,4,1
9,e_e000963,7,2,5,3
2,e_e000963,2,2,2,1
4,e_e000963,2,1,1,1
6,e_e000963,7,2,5,3
8,e_e000963,7,2,5,3
1,e_e000963,1,2,5,1
3,e_e000963,2,1,2,1
5,e_e000963,7,1,5,3
7,e_e000963,7,1,5,3
2,e_e001003,2,1,1,1
1,e_e001003,1,1,4,1
1,e_e001038,8,1,3,1
2,e_e001042,5,2,5,1
1,e_e001042,2,1,1,1
3,e_e001042,6,2,1,1
1,e_e001055,8,2,3,1
1,e_e001077,2,2,4,1
1,e_e001153,1,1,4,1
2,e_e001153,2,1,1,1
2,e_e001187,2,1,1,1
1,e_e001187,1,1,4,1
1,e_e001208,3,2,6,1
2,e_e001258,2,1,2,1
1,e_e001258,1,1,5,1
3,e_e001258,2,1,2,1
1,e_e001294,8,1,3,1
1,e_e001300,3,2,6,1
2,e_e001379,2,1,1,1
4,e_e001379,7,1,4,3
6,e_e001379,7,2,4,3
8,e_e001379,7,2,1,3
1,e_e001379,1,2,4,1
3,e_e001379,7,1,4,3
5,e_e001379,7,1,1,3
7,e_e001379,7,2,5,3
2,e_e001399,2,1,1,1
1,e_e001399,1,2,4,1
4,e_e001486,7,1,4,3
6,e_e001486,7,2,4,3
1,e_e001486,1,1,4,1
3,e_e001486,7,1,4,3
5,e_e001486,7,2,4,3
2,e_e001486,2,1,1,1
1,e_e001496,5,1,4,1
3,e_e001496,3,2,7,1
5,e_e001496,6,1,1,1
7,e_e001496,2,1,1,1
2,e_e001496,6,2,4,1
4,e_e001496,1,1,5,1
6,e_e001496,6,1,1,1
1,e_e001555,7,2,3,1
1,e_e001575,1,1,4,1
1,e_e001925,8,2,4,3
1,e_e001985,8,1,4,1
1,e_e002010,8,2,3,3
1,e_e002028,8,2,3,1
1,e_e002039,1,1,5,1
1,e_e002078,1,2,4,1
1,e_e002083,8,1,3,1
1,e_e002100,1,1,6,1
1,e_e002112,1,1,4,1
1,e_e002114,2,2,1,1
1,e_e002146,8,1,4,1
1,e_e002180,1,1,5,1
2,e_e002180,2,2,1,1
1,e_e002190,2,2,2,2
1,e_e002191,2,2,1,1
2,e_e002335,2,2,3,1
1,e_e002335,1,1,7,1
2,e_e002337,6,1,6,1
4,e_e002337,5,1,3,1
1,e_e002337,4,2,8,1
3,e_e002337,6,2,5,1
1,e_e002343,1,1,4,1
1,e_e002353,7,2,3,1
1,e_e002360,1,1,4,1
3,e_e002360,7,2,4,3
5,e_e002360,7,1,4,3
2,e_e002360,7,2,3,3
4,e_e002360,7,1,4,3
1,e_e002362,1,1,8,1
1,e_e002370,8,2,4,1
1,e_e002388,1,2,5,1
3,e_e002388,2,1,2,1
2,e_e002388,2,1,1,1
1,e_e002390,1,1,4,1
1,e_e002403,3,2,7,2
1,e_e002443,8,2,3,1
2,e_e002485,2,1,1,1
1,e_e002485,1,1,4,1
3,e_e002485,2,2,1,1
1,e_e002510,7,2,4,1
1,e_e002664,1,2,4,1
2,e_e002664,2,1,1,1
1,e_e002783,8,2,4,1
1,e_e002790,8,1,3,1
3,e_e003119,7,2,3,1
2,e_e003119,7,1,3,1
1,e_e003119,8,1,3,1
3,e_e003171,2,1,2,1
2,e_e003171,2,2,2,1
1,e_e003171,1,1,5,1
1,e_e003177,9,1,3,1
1,e_e003182,1,1,4,1
2,e_e003182,2,2,1,1
2,e_e003255,7,1,3,3
1,e_e003255,8,2,3,1
3,e_e003255,7,1,3,3
1,e_e003306,8,1,3,3
1,e_e003315,8,2,3,1
1,e_e003320,7,2,3,1
1,e_e003340,7,2,3,1
1,e_e003345,8,1,3,1
1,e_e003358,8,1,3,1
1,e_e003359,8,2,3,1
2,e_e003367,7,2,3,3
1,e_e003367,7,2,3,1
1,e_e003437,1,1,5,1
1,e_e003464,1,2,7,1
1,e_e003503,8,2,3,1
1,e_e003513,7,1,3,1
3,e_e003513,7,2,3,1
5,e_e003513,7,2,3,1
2,e_e003513,7,1,3,1
4,e_e003513,7,2,3,1
2,e_e003537,2,1,2,1
1,e_e003537,1,1,5,1
3,e_e003537,2,2,1,1
2,e_e003543,2,2,2,1
1,e_e003543,2,1,2,1
1,e_e003544,1,2,4,1
1,e_e003551,8,1,3,1
1,e_e003592,8,2,4,1
1,e_e003601,7,1,3,3
1,e_e003623,8,2,3,1
2,e_e003644,2,2,1,1
1,e_e003644,2,2,1,1
1,e_e003645,7,2,3,1
1,e_e003651,8,2,3,1
1,e_e003662,8,1,4,1
1,e_e003692,8,1,3,3
2,e_e003695,7,2,5,1
1,e_e003695,7,2,5,1
2,e_e003714,9,1,5,2
1,e_e003714,9,1,5,2
1,e_e003750,2,2,1,1
5,e_e003750,11,2,1,2
3,e_e003750,7,2,4,1
7,e_e003750,11,2,1,2
2,e_e003750,7,2,4,1
6,e_e003750,11,2,1,2
4,e_e003750,9,1,4,2
2,e_e003869,2,2,3,1
1,e_e003869,1,2,6,1
1,e_e003872,1,2,6,1
1,e_e003875,2,2,4,1
1,e_e003876,5,2,6,3
1,e_e003884,8,1,3,1
1,e_e003910,1,1,4,1
2,e_e003921,2,1,2,1
1,e_e003921,1,2,4,1
3,e_e003921,2,2,2,1
1,e_e003938,1,1,4,1
1,e_e003948,8,1,3,1
2,e_e003952,2,2,1,1
1,e_e003952,1,1,3,1
1,e_e003953,3,2,6,1
1,e_e003957,5,1,3,3
2,e_e003957,7,2,4,3
1,e_e004018,8,2,3,1
1,e_e004023,1,1,6,1
3,e_e004023,3,2,8,1
5,e_e004023,5,1,5,1
7,e_e004023,5,2,5,1
9,e_e004023,6,2,1,1
2,e_e004023,3,1,8,1
4,e_e004023,5,1,5,1
6,e_e004023,5,2,5,1
8,e_e004023,6,2,2,1
1,e_e004118,8,2,3,1
5,e_e004140,3,2,7,3
2,e_e004140,2,1,1,1
