TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000308,밀리오레호텔 명동,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-26 00:31,3,440000,명동 밀리오레 호텔
e_e000337,서울드래곤시티,1,1,Y,,,2,,서부티엔디,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,4106354,1117012800,2023-05-27 14:10,1,255200,
e_e000459,어반플레이스강남,1,1,Y,,,2,,아고다,,,,,2023-04-12 00:00,1,184484,URBAN PLACE RESIDENCE GANGNAM
e_e000471,네스트호텔,0,1,Y,,,2,,,,인천 중구 운서동 2877-1,,,,1,120000,
e_e000537,네스트호텔,1,1,Y,,,2,,네스트(주),인천 중구 영종해안남로 19-5,인천 중구 운서동 2877,3149029,2811014700,2023-05-16 19:13,1,158400,숙박비
e_e000538,파라다이스시티,0,1,Y,,,4,,,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,,,,4,0,
e_e000742,호텔시에나,0,1,Y,,,2,,,경기 파주시 소리천로 31,경기 파주시 야당동 1081-2,,,,1,230000,
e_e000753,아토키즈풀빌라,1,3,Y,,,5,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-05-30 00:00,1,550000,가평 아토키즈풀빌라
e_e000880,파라다이스시티,1,1,Y,,,2,,주식회사파라다이스세가사미,인천 중구 영종해안남로321번길 186,,4247199,2811014700,2023-05-29 14:29,1,70000,숙박비
e_e000920,덕산국민여가캠핑장,2,5,Y,,,2,,,서울 중구 세종대로 39,,2005001,1114011700,2023-06-01 22:06,1,35000,
e_e000921,어반스테이 인천송도,1,11,N,,,1,,주식회사 랜드마크송,인천 연수구 아트센터대로168번길 101,인천 연수구 송도동 29-2,4856813,2818510600,2023-05-24 16:41,1,58000,
e_e000921,호텔체리쉬,0,2,Y,,,1,,,경기 부천시 부천로6번길 29,경기 부천시 심곡동 171-2,,,,1,32000,
e_e000944,로얄타워(에어비앤비 숙소),1,11,Y,,,3,,에어비엔비,,,,,2023-05-20 12:11,1,71628,숙박비
e_e000963,대부도펜션시티,1,3,Y,,,10,,(주)대부도펜션시티,경기 안산시 단원구 공마루길 68-3,경기 안산시 단원구 대부동동 1567-77,4373020,4127311000,2023-05-27 14:03,3,900000,
e_e001003,공감키즈펜션,1,3,Y,,,3,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-30 17:04,1,306100,가평 공감 키즈 가족 스파 계곡 펜션
e_e001003,집,0,9,N,,,3,,,경기도 화성시 동탄기흥로585,,,,,4,0,
e_e001153,더리프 사당,1,1,Y,,,3,,더리프 사당점,서울 관악구 남현1길 66,서울 관악구 남현동 1061-2,4160290,1162010300,2023-05-24 00:00,3,48500,private pool spa
e_e001258,스위스그랜드호텔 서울,0,1,Y,,,4,,,서울 서대문구 연희로 353,,,,,1,313930,
e_e001379,곤지암리조트 L빌리지,1,4,Y,,,9,,(주)디앤오,경기 광주시 도척면 도척윗로 278,,3211012,4161033026,2023-05-29 15:47,1,204000,숙박비
e_e001496,나나키즈풀빌라,0,3,Y,,,8,,,경기 가평군 상면 돌아우길 64-11,경기 가평군 상면 상동리 73-9,,,,1,1150000,
e_e001555,뉴거평힐링24시찜질방,1,11,N,,,2,,뉴거평힐링24시찜질방,서울 강남구 봉은사로 129-1,서울 강남구 논현동 203,3122004,1168010800,2023-05-31 22:22,1,29000,숙박비
e_e001555,올리브호텔,1,2,Y,,,2,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-01 00:00,1,37000,"[서울 모텔]잠실 올리브(잠실,신천(잠실새내))"
e_e001575,쉐라톤그랜드 인천호텔,1,1,Y,,,2,,대우송도호텔(주),인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,2152004,2818510600,2023-05-28 14:33,1,318230,숙박비
e_e001575,쉐라톤그랜드인천호텔 피스트,0,1,Y,,,2,,,인천 연수구 컨벤시아대로 153,인천 연수구 송도동 6-9,,,,4,0,
e_e001925,소노캄고양 웨스트타워,0,1,Y,,,2,,,경기 고양시 일산동구 태극로 18,경기 고양시 일산동구 장항동 1755,,,,1,169000,
e_e002078,마전낚시터,0,11,Y,,,2,,,마전길 129-1,,,,,5,120000,
e_e002083,서울 북한산 카라반,1,5,Y,,,2,,캠핑톡 주식회사,서울 중구 청계천로 40,서울 중구 다동 10,3100021,1114010200,2023-05-30 20:17,1,159000,"난방완비/2030실속형 2인전용/커플,여성"
e_e002190,더스테이힐링파크,0,1,Y,,,2,,,경기 가평군 설악면 한서로268번길 157,경기 가평군 설악면 위곡리 303-3,,,,4,304000,
e_e002337,파주파인밸리펜션,0,3,Y,,,5,,,경기 파주시 파평면 청송로652번길 216,,,,,5,250000,
e_e002353,중동에스티마오피스텔,1,7,Y,,,2,,에어비앤비,,,,,2023-04-28 11:45,1,112063,숙박비
e_e002370,가평용소폭포펜션,1,3,Y,,,2,,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-05-31 00:00,1,110000,[용소]*103호*온돌방
e_e002485,티앤풀빌라펜션,1,3,Y,,,4,,(주)티몬,서울 중구 세종대로 39,서울 중구 남대문로4가 45,2005001,1114011700,2023-03-31 11:29,1,227000,[봄여행페스타]가평 티앤풀빌라펜션
e_e002500,에스에스리조트,1,4,Y,,,1,,에스에스 리조트,경기 가평군 가평읍 북한강변로 494,경기 가평군 가평읍 금대리 294-3,3216019,4182025034,2023-06-17 00:00,1,211182,숙박비 
e_e002515,코트야드바이메리어트 서울남대문,1,1,Y,,,1,,주식회사 상상스테이,서울 중구 남대문로 9,서울 중구 남대문로4가 17-23,3101001,1114011700,2023-06-17 22:59,1,178200,
e_e002783,소노캄 고양,1,1,Y,,,2,,소노캄 고양,경기 고양시 일산동구 태극로 20,경기 고양시 일산동구 장항동 1756,3194057,4128510400,2023-06-09 00:00,1,256000,숙박비
e_e002790,스텔라토풀빌라,0,3,Y,,,2,,,경기 연천군 전곡읍 선사로 203-1,경기 연천군 전곡읍 전곡리 89-21,,,,5,325000,
e_e003119,카사레스펜션,0,3,Y,,,4,,,경기 가평군 북면 꽃넘이길 87-19,경기 가평군 북면 제령리 544-2,,,,5,107000,
